name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Atmospheric Gases,16634,0.05,22017807,114599904,32,142,2,3,33.13,3103.0,316.7406129586062,330.31672047630855
Cadmium,16643,0.05,12016748,7179371,49,37,0,3,502.6,47940.0,5025.004160862264,5012.502075393907
Caesium,16647,0.05,6751518,4974239,53,38,0,2,571.0,59320.0,5695.293081537436,5932.853886639513
Chromium,16641,0.05,7083436,6020232,30,40,1,2,602.4,65920.0,6024.0,6592.0
Cobalt,16640,0.05,27514266,16692156,49,40,0,2,75.16000000000001,8700.0,751.1760524179099,897.4751892807035
Dysprosium,16650,0.05,1687517,771107,80,24,0,2,5600.0,610000.0,55703.02577777778,64940.84295162754
Evaporite Deposits,16635,0.05,55701028,61829964,25,63,1,3,29.02,2750.0,290.11470475765077,275.0
Hafnium,16648,0.05,2101959,12509024,36,67,0,5,992.4000000000001,106700.0,9924.0,10699.660117259386
Hydrocarbons,16633,0.05,47556149,44289175,49,36,3,4,53.84,6150.0,537.6034080562468,696.2770065180736
Mercury,16646,0.05,3120241,5620072,34,23,0,4,347.90000000000003,38900.0,3474.7169320308694,3892.9918862076206
Neodymium,16651,0.05,2006540,790554,90,16,0,3,7612.0,848400.0,76043.94430213203,84840.0
Platinum,16644,0.05,10287332,7272863,41,37,0,2,701.3000000000001,74640.0,7010.034858447098,7464.0
Promethium,16652,0.05,687695,1182156,25,31,0,1,5807.0,618500.0,54589.087947882734,61850.0
Scandium,16639,0.05,14498044,13000897,14,67,2,1,47.02,5210.0,457.34489420638926,526.04385364683
Silicates,16636,0.05,32004835,67706528,16,68,1,2,30.0,2921.0,296.7928582007335,318.213594123678
Technetium,16649,0.05,2926538,7678420,32,23,0,3,1400.0,142400.0,13845.075242950672,14247.515217974531
Thulium,16653,0.05,1793974,659112,53,9,0,3,3801.0,498800.0,37409.388615130774,49889.91533909877
Titanium,16638,0.05,11351564,23762915,24,60,0,2,71.0,7101.0,700.3176402186132,737.7993970432901
Tungsten,16637,0.05,9249820,17180627,20,114,0,3,102.5,10260.0,1025.0,1118.441809434118
Vanadium,16642,0.05,11209986,12690601,29,49,0,2,155.4,15610.0,1505.9468616357924,1588.4033300698852
